[2025-11-29 08:35:28] debug: 	zh:controller: Received payload: clusterID=2820, address=43140, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=120, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":true,"reservedBits":0},"transactionSequenceNumber":80,"commandIdentifier":1},"payload":[{"attrId":1285,"status":0,"dataType":33,"attrData":236},{"attrId":1288,"status":0,"dataType":33,"attrData":0},{"attrId":1291,"status":0,"dataType":41,"attrData":0}],"command":{"ID":1,"name":"readRsp","parameters":[{"name":"attrId","type":33},{"name":"status","type":32},{"name":"dataType","type":32,"conditions":[{"type":"fieldEquals","field":"status","value":0}]},{"name":"attrData","type":1000,"conditions":[{"type":"fieldEquals","field":"status","value":0}]}]}}
[2025-11-29 08:35:28] debug: 	z2m: Received Zigbee message from 'Hytte 34', type 'readResponse', cluster 'haElectricalMeasurement', data '{"activePower":0,"rmsCurrent":0,"rmsVoltage":236}' from endpoint 1 with groupID 0
[2025-11-29 08:35:28] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt_area2/Hytte 34', payload '{"current":0,"energy":0.02,"indicator_mode":"on_off","last_seen":"2025-11-29T07:35:28.640Z","linkquality":120,"power":0,"power_on_behavior":"on","power_outage_memory":"restore","state":"OFF","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":236}'
[2025-11-29 08:35:29] debug: 	zh:controller:endpoint: ZCL command 0xbc8d7efffe156ace/1 haElectricalMeasurement.read(["rmsVoltage","rmsCurrent","activePower"], {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"writeUndiv":false})
[2025-11-29 08:35:29] debug: 	zh:ember: ~~~> [ZCL to=0xbc8d7efffe156ace:65202 apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":0} header={"frameControl":{"reservedBits":0,"frameType":0,"direction":0,"disableDefaultResponse":true,"manufacturerSpecific":false},"transactionSequenceNumber":81,"commandIdentifier":0}]
[2025-11-29 08:35:29] debug: 	zh:ember:ezsp: ===> [FRAME: ID=52:"SEND_UNICAST" Seq=243 Len=31]
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=3 frmRx=1](ackRx=3)
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4](ackRx=3 frmTx=4)
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4 frmNum=1](frmRx=1) Added to rxQueue
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=2](ackRx=4)
[2025-11-29 08:35:29] debug: 	zh:ember:ezsp: <=== [FRAME: ID=52:"SEND_UNICAST" Seq=243 Len=10]
[2025-11-29 08:35:29] debug: 	zh:ember:ezsp: ~~~> [SENT type=DIRECT apsSequence=186 messageTag=82 status=OK]
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4](ackRx=4 frmTx=4)
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4 frmNum=2](frmRx=2) Added to rxQueue
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=3](ackRx=4)
[2025-11-29 08:35:29] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=89:"INCOMING_ROUTE_RECORD_HANDLER" Seq=243 Len=20]
[2025-11-29 08:35:29] debug: 	zh:ember:ezsp: ezspIncomingRouteRecordHandler: source=65202 sourceEui=0xbc8d7efffe156ace lastHopLqi=88 lastHopRssi=-89 relayCount=1 relayList=8591
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4](ackRx=4 frmTx=4)
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4 frmNum=3](frmRx=3) Added to rxQueue
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=4](ackRx=4)
[2025-11-29 08:35:29] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=69:"INCOMING_MESSAGE_HANDLER" Seq=243 Len=58]
[2025-11-29 08:35:29] debug: 	zh:ember:ezsp: ezspIncomingMessageHandler: type=UNICAST apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":256,"groupId":0,"sequence":168} packetInfo:{"senderShortId":65202,"senderLongId":"0x0000000000000000","bindingIndex":255,"addressIndex":8,"lastHopLqi":80,"lastHopRssi":-91,"lastHopTimestamp":585378453} messageContents=18510105050021eb000805002100000b0500290000
[2025-11-29 08:35:29] debug: 	zh:controller: Received payload: clusterID=2820, address=65202, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=80, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":true,"reservedBits":0},"transactionSequenceNumber":81,"commandIdentifier":1},"payload":[{"attrId":1285,"status":0,"dataType":33,"attrData":235},{"attrId":1288,"status":0,"dataType":33,"attrData":0},{"attrId":1291,"status":0,"dataType":41,"attrData":0}],"command":{"ID":1,"name":"readRsp","parameters":[{"name":"attrId","type":33},{"name":"status","type":32},{"name":"dataType","type":32,"conditions":[{"type":"fieldEquals","field":"status","value":0}]},{"name":"attrData","type":1000,"conditions":[{"type":"fieldEquals","field":"status","value":0}]}]}}
[2025-11-29 08:35:29] debug: 	z2m: Received Zigbee message from 'Hytte 42', type 'readResponse', cluster 'haElectricalMeasurement', data '{"activePower":0,"rmsCurrent":0,"rmsVoltage":235}' from endpoint 1 with groupID 0
[2025-11-29 08:35:29] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt_area2/Hytte 42', payload '{"current":0,"energy":0.01,"indicator_mode":"on_off","last_seen":"2025-11-29T07:35:29.240Z","linkquality":80,"power":0,"power_on_behavior":"on","power_outage_memory":"restore","state":"OFF","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":235}'
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4](ackRx=4 frmTx=4)
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4 frmNum=4](frmRx=4) Added to rxQueue
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=5](ackRx=4)
[2025-11-29 08:35:29] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=89:"INCOMING_ROUTE_RECORD_HANDLER" Seq=243 Len=20]
[2025-11-29 08:35:29] debug: 	zh:ember:ezsp: ezspIncomingRouteRecordHandler: source=65202 sourceEui=0xbc8d7efffe156ace lastHopLqi=84 lastHopRssi=-90 relayCount=1 relayList=8591
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
