[2025-11-27 08:40:47] debug: 	zh:controller:device: Request Queue (0xbc8d7efffe156ace): default expiration timeout set to 0
[2025-11-27 08:40:47] debug: 	zh:controller:device: Request Queue (0xbc8d7efffe148e64): default expiration timeout set to 0
[2025-11-27 08:40:47] debug: 	zh:controller:device: Request Queue (0x781c9dfffee43f19): default expiration timeout set to 0
[2025-11-27 08:40:47] debug: 	z2m: Saving state to file /app/data/state.json
[2025-11-27 08:40:47] error: 	z2m: Not connected to MQTT server!
[2025-11-27 08:40:47] error: 	z2m: Cannot send message: topic: 'zigbee2mqtt_area2/bridge/state', payload: '{"state":"offline"}
[2025-11-27 08:40:47] info: 	z2m: Disconnecting from MQTT server
[2025-11-27 08:40:47] info: 	z2m: Stopping zigbee-herdsman...
[2025-11-27 08:40:47] debug: 	zh:controller:database: Writing database to '/app/data/database.db'
[2025-11-27 08:40:48] info: 	z2m: Stopped zigbee-herdsman
[2025-11-27 08:40:48] info: 	z2m: Stopped Zigbee2MQTT
