[2025-11-27 08:31:35] info: 	z2m: Logging to console, file (filename: log.log)
[2025-11-27 08:31:37] debug: 	z2m: Loaded state from file /app/data/state.json
[2025-11-27 08:31:37] info: 	z2m: Starting Zigbee2MQTT version 2.6.3 (commit #6e001b48ec278c6c141579c9eacc045f190fc289
)
[2025-11-27 08:31:37] info: 	z2m: Starting zigbee-herdsman (6.3.2)
[2025-11-27 08:31:37] debug: 	z2m: Using zigbee-herdsman with settings: '"{\"network\":{\"panID\":6754,\"extendedPanID\":[221,221,221,221,221,221,221,2],\"channelList\":[20],\"networkKey\":\"HIDDEN\"},\"databasePath\":\"/app/data/database.db\",\"databaseBackupPath\":\"/app/data/database.db.backup\",\"backupPath\":\"/app/data/coordinator_backup.json\",\"serialPort\":{\"path\":\"tcp://192.168.1.35:6638\",\"adapter\":\"ezsp\"},\"adapter\":{\"disableLED\":false,\"transmitPower\":20}}"'
[2025-11-27 08:31:38] debug: 	zh:ezsp: Adapter concurrent: 8
[2025-11-27 08:31:38] debug: 	zh:controller: Starting with options '{"network":{"networkKeyDistribute":false,"networkKey":"HIDDEN","panID":6754,"extendedPanID":[221,221,221,221,221,221,221,2],"channelList":[20]},"serialPort":{"path":"tcp://192.168.1.35:6638","adapter":"ezsp"},"adapter":{"disableLED":false,"transmitPower":20},"databasePath":"/app/data/database.db","databaseBackupPath":"/app/data/database.db.backup","backupPath":"/app/data/coordinator_backup.json"}'
[2025-11-27 08:31:38] warning: 	zh:ezsp: 'ezsp' driver is deprecated and will only remain to provide support for older firmware (pre 7.4.x). Migration to 'ember' is recommended. If using Zigbee2MQTT see https://github.com/Koenkk/zigbee2mqtt/discussions/21462
[2025-11-27 08:31:38] debug: 	zh:ezsp:uart: Opening TCP socket with 192.168.1.35:6638
[2025-11-27 08:31:38] debug: 	zh:ezsp:uart: Socket connected
[2025-11-27 08:31:38] debug: 	zh:ezsp:uart: Socket ready
[2025-11-27 08:31:38] debug: 	zh:ezsp:uart: Uart reseting
[2025-11-27 08:31:38] debug: 	zh:ezsp:uart: --> Write reset
[2025-11-27 08:31:38] debug: 	zh:ezsp:uart: --> [1ac038bc7e]
[2025-11-27 08:31:38] debug: 	zh:ezsp:uart: -?- waiting reset
[2025-11-27 08:31:48] error: 	zh:ezsp:uart: --> Error: Error: {"sequence":-1} after 10000ms
